RT	MZ	LeftRTBorder	RightRTBorder	MZDeviation
699.00	258.10968	680.00	715.00	45.00
718.00	150.06465	710.00	727.00	40.00
200.00	613.56952	192.00	210.00	60.00
564.00	130.05009	550.00	585.00	30.00
488.00	113.03	475.00	505.00	23.00
439.00	154.06102	430.00	452.00	40.00
643.00	119.08955	630.00	660.00	23.00
643.00	118.08633	630.00	660.00	23.00
673.00	165.05472	663.00	687.00	40.00
715.00	161.09198	705.00	730.00	40.00
744.00	336.13962	737.00	758.00	50.00
764.00	160.07965	750.00	780.00	40.00
611.00	112.05	600.00	630.00	23.00
732.00	344.72070	723.00	743.00	50.00
731.00	134.04474	720.00	745.00	35.00
696.00	537.19556	687.00	705.00	65.00
940.00	256.49667	925.00	957.00	45.00
692.00	251.06963	682.00	705.00	45.00
709.00	428.03690	700.00	722.00	50.00
746.00	133.06064	735.00	760.00	35.00
698.00	260.11392	680.00	715.00	45.00
643.00	159.11292	630.00	657.00	40.00
718.00	122.06971	707.00	732.00	23.00
544.00	120.08073	525.00	565.00	23.00
605.00	134.04520	595.00	617.00	35.00
1035.00	326.17450	1020.00	1050.00	50.00
767.00	584.08832	757.00	778.00	50.00
747.00	134.06418	738.00	757.00	35.00
573.00	133.10501	560.00	590.00	35.00
719.00	262.06866	712.00	727.00	40.00
757.00	150.07593	750.00	768.00	40.00
600.00	157.06096	585.00	620.00	40.00
766.00	422.03622	755.00	778.00	50.00
701.00	262.69366	784.00	818.00	40.00
696.00	262.60486	691.00	699.00	40.00
894.00	327.84140	882.00	905.00	50.00
804.00	368.10733	792.00	817.00	50.00
785.00	689.21088	770.00	795.00	65.00
715.00	132.06551	707.00	727.00	35.00
718.00	120.06561	705.00	735.00	23.00
663.00	348.06982	645.00	678.00	50.00
732.00	348.06982	720.00	742.00	50.00
664.00	162.11256	652.00	680.00	40.00
1035.00	325.92450	1020.00	1050.00	50.00
523.00	136.06186	510.00	540.00	35.00
673.00	136.07570	662.00	685.00	35.00
678.00	134.08121	665.00	695.00	35.00
718.00	489.11386	707.00	730.00	50.00
574.00	134.10585	565.00	600.00	35.00
527.00	112.06	515.00	535.00	23.00
718.00	121.06880	705.00	735.00	23.00
756.00	291.04672	750.00	767.00	40.00
726.00	133.07991	712.00	735.00	35.00
493.00	153.04056	485.00	505.00	40.00
599.00	294.18109	585.00	620.00	40.00
600.00	257.12427	580.00	615.00	45.00
587.00	161.09200	572.00	605.00	40.00
590.00	281.11267	575.00	603.00	40.00
606.00	150.05820	590.00	620.00	40.00
940.00	256.83112	925.00	957.00	45.00
561.00	154.07262	550.00	575.00	40.00
675.00	123.05520	660.00	690.00	30.00
731.00	152.05669	720.00	745.00	40.00
762.00	335.07385	752.00	775.00	50.00
426.00	250.09303	420.00	440.00	45.00
657.00	117.07387	640.00	670.00	23.00
853.00	722.29767	835.00	870.00	65.00
697.00	261.60397	690.00	705.00	45.00
845.00	327.06433	835.00	858.00	50.00
678.00	135.08446	668.00	690.00	35.00
1086.00	130.08643	1065.00	1105.00	35.00
449.00	125.04272	430.00	465.00	30.00
772.00	122.08112	755.00	795.00	28.00
775.00	364.06479	760.00	790.00	50.00
619.00	127.05018	605.00	635.00	30.00
657.00	157.09731	640.00	675.00	40.00
606.00	133.03160	585.00	620.00	35.00
717.00	110.07	705.00	730.00	23.00
471.00	113.07	455.00	488.00	23.00
750.00	432.17157	740.00	760.00	50.00
748.00	360.14996	740.00	765.00	50.00
731.00	131.08134	715.00	750.00	35.00
524.00	253.09247	510.00	536.00	45.00
594.00	119.08955	580.00	610.00	23.00
615.00	439.23630	605.00	627.00	50.00
801.00	261.15573	790.00	814.00	45.00
851.00	361.65060	840.00	867.00	50.00
221.00	614.33404	212.00	233.00	60.00
574.00	134.10843	565.00	600.00	35.00
601.00	158.06401	590.00	612.00	40.00
536.00	114.07	520.00	550.00	23.00
764.00	440.11508	750.00	775.00	50.00
693.00	362.08292	680.00	710.00	50.00
272.00	263.14252	257.00	280.00	40.00
566.00	268.14011	554.00	580.00	40.00
715.00	292.07864	710.00	725.00	40.00
890.00	336.21121	875.00	907.00	50.00
567.00	269.14404	556.00	577.00	40.00
771.00	291.12921	763.00	783.00	40.00
764.00	113.07	750.00	777.00	23.00
657.00	158.10068	648.00	670.00	40.00
485.00	154.06104	478.00	496.00	40.00
803.00	347.12924	793.00	815.00	50.00
657.00	117.06760	640.00	670.00	23.00
562.00	273.08414	552.00	572.00	40.00
659.00	385.12909	651.00	673.00	50.00
417.00	599.31818	410.00	422.00	60.00
699.00	516.21692	687.00	709.00	65.00
494.00	268.10336	482.00	505.00	40.00
440.00	150.07735	430.00	460.00	40.00
439.00	271.07455	420.00	456.00	40.00
624.00	153.04082	615.00	635.00	40.00
696.00	262.10306	685.00	707.00	40.00
792.00	254.12198	777.00	802.00	45.00
902.00	284.67581	893.00	918.00	40.00
724.00	132.07660	710.00	740.00	35.00
794.00	263.08765	785.00	802.00	40.00
282.00	269.13873	279.00	295.00	40.00
532.00	264.10150	511.00	550.00	40.00
624.00	136.04254	613.00	634.00	35.00
562.00	295.06693	553.00	575.00	40.00
803.00	346.12549	793.00	815.00	50.00
692.00	280.09106	677.00	715.00	40.00
765.00	117.06571	753.00	780.00	23.00
669.00	274.18680	654.00	690.00	40.00
519.00	255.14523	490.00	540.00	45.00
790.00	846.30634	775.00	805.00	85.00
657.00	116.07084	640.00	670.00	23.00
561.00	159.02808	548.00	577.00	40.00
536.00	115.06968	525.00	545.00	23.00
642.00	130.08644	630.00	655.00	30.00
769.00	261.15582	758.00	780.00	45.00
620.00	261.19968	610.00	635.00	45.00
594.00	118.08633	580.00	610.00	23.00
605.00	153.05754	596.00	616.00	40.00
544.00	121.08414	525.00	565.00	23.00
417.00	600.32135	410.00	422.00	60.00
775.00	277.10269	764.00	795.00	40.00
772.00	263.15411	767.00	788.00	40.00
702.00	441.17621	690.00	710.00	50.00
444.00	136.06177	428.00	463.00	35.00
665.00	163.11609	652.00	680.00	40.00
781.00	681.25677	767.00	794.00	65.00
699.00	515.21173	687.00	709.00	65.00
605.00	150.10786	595.00	617.00	40.00
707.00	262.05075	700.00	713.00	40.00
606.00	135.02750	592.00	620.00	35.00
509.00	257.11331	495.00	520.00	45.00
583.00	155.04509	571.00	600.00	40.00
717.00	373.54419	705.00	730.00	50.00
845.00	326.06094	835.00	858.00	50.00
626.00	136.06163	617.00	637.00	35.00
447.00	124.03930	425.00	465.00	30.00
430.00	269.13782	421.00	442.00	40.00
764.00	159.07635	750.00	780.00	40.00
672.00	275.19077	660.00	685.00	40.00
617.00	260.19669	600.00	640.00	45.00
779.00	127.03898	765.00	790.00	30.00
699.00	124.99931	675.00	720.00	30.00
890.00	335.71042	875.00	907.00	50.00
774.00	152.05644	767.00	785.00	40.00
