RT	MZ	LeftRTBorder	RightRTBorder	MZDeviation
1734	324.28998	1722	1750	55
644	244.19026	635	654	47
1667	343.34000	1660	1685	60
1703	323.29910	1695	1715	55
1548	299.25864	1540	1560	50
620	335.68042	602	628	55
1833	363.31042	1820	1850	60
1689	359.37234	1683	1700	60
1842	275.25969	1830	1857	45
1301	288.25244	1295	1320	50
1729	356.35223	1720	1745	60
1912	326.30533	1900	1930	55
1518	286.31042	1505	1535	45
356	188.07109	340	370	41
1590	322.27405	1580	1600	55
1518	788.56995	1505	1531	70
1837	341.26712	1825	1858	60
2035	780.42694	2022	2050	70
2153	776.23206	2140	2175	70
1602	320.28665	1590	1624	55
1514	347.15497	1499	1530	60
1414	330.29993	1408	1428	55
356	189.07428	340	370	37
1789	649.45044	1780	1807	70
2090	339.34482	2070	2115	60
1191	272.25809	1180	1210	44
1620	284.33173	1605	1635	50
1703	305.26877	1692	1717	40
900	244.19029	890	914	41
1602	285.31046	1595	1625	45
1929	315.25372	1920	1951	55
1153	318.29111	1147	1170	55
1602	319.28348	1595	1616	55
1067	334.28601	1065	1080	55
1325	268.26279	1320	1340	44
1191	305.28885	1175	1205	40
1837	357.23889	1828	1850	60
1703	305.26877	1690	1720	50
1505	319.18964	1495	1515	55
1414	172.68858	1407	1426	32
1038	250.17920	1005	1090	53
1553	313.32870	1535	1562	55
1624	790.58649	1611	1636	75
976	330.26355	970	990	55
938	306.39603	933	948	50
941	309.89957	933	955	50
1672	329.26694	1665	1685	55
1487	206.18872	1460	1500	50
159	167.08925	147	183	31
2153	777.23407	2140	2175	70
1725	340.35715	1710	1740	60
2153	778.23071	2140	2175	70
1464	325.32083	1455	1475	55
1419	312.26382	1410	1435	55
1809	356.35251	1800	1825	60
1801	313.36597	1792	1818	55
1809	354.40878	1800	1818	60
1531	359.33362	1520	1542	60
1837	319.28369	1828	1847	55
1518	287.31403	1505	1535	45
1842	298.24393	1830	1855	46
1694	361.11987	1689	1710	60
1738	361.36401	1730	1755	60
1628	359.06863	1610	1642	60
1842	276.26147	1830	1857	45
1801	312.36179	1792	1817	55
1469	317.32343	1464	1485	55
260	168.09210	243	279	30
1595	361.31329	1590	1610	60
1837	358.24426	1828	1850	60
938	273.63623	932	950	45
1801	251.04662	1795	1815	53
1837	343.27206	1828	1850	60
1979	364.30600	1970	1990	60
1698	349.29504	1688	1710	60
1751	323.34201	1740	1758	55
143	264.18073	137	160	38
1414	302.30524	1405	1430	50
1689	5358.36673	1680	1705	60
2061	173.13248	2050	2072	44
1837	312.29086	1828	1850	55
1590	333.27921	1580	1598	55
1414	331.30289	1400	1430	55
1130	267.12289	1120	1150	44
1620	285.33463	1605	1635	50
1703	343.22473	1695	1710	60
1004	247.13338	990	1020	47
1287	319.30258	1275	1300	55
1912	327.30801	1905	1925	55
1460	327.07761	1450	1470	55
1414	171.39960	1407	1426	31
1367	259.70151	1360	1390	45
1864	638.30975	1856	1879	76
2160	813.49377	2143	2178	75
900	266.17233	895	910	40
1487	792.56616	1474	1501	75
1419	311.31293	1410	1430	50
909	205.61414	900	927	48
1548	281.24695	1540	1560	50
1877	364.28235	1870	1890	60
164	188.07098	154	184	41
1406	258.27966	1400	1430	43
1483	306.69080	1470	1500	50
1624	280.16171	1610	1640	50
2035	779.41876	2022	2050	70
2012	256.26328	2000	2030	40
1624	343.09689	1608	1645	60
137	166.05322	133	160	26
1703	322.29535	1690	1715	55
1632	326.37820	1625	1650	55
1210	230.24808	1200	1225	31
938	273.38589	933	955	45
1396	797.40802	1372	1415	75
133	164.09203	126	150	25
1419	292.29990	1415	1440	50
1129	254.09349	1120	1140	55
1491	280.23566	1483	1515	50
2090	312.31418	2070	2115	55
1191	273.26135	1180	1210	45
143	188.12817	137	160	36
1200	331.30264	1195	1225	55
917	264.19540	910	925	45
1478	366.33640	1470	1494	60
260	167.08932	243	279	31
1789	314.34143	1780	1810	55
2263	310.30963	2250	2285	50
2097	173.13255	2090	2110	39
356	336.01886	333	362	55
1681	639.95178	1672	1693	70
1200	244.26303	1196	1219	50
1100	301.28525	1095	1115	50
1837	342.26953	1827	1850	60
1738	360.36151	1730	1760	60
130	198.12366	126	144	43
2101	244.19019	2090	2115	50
1067	332.27991	1055	1080	55
668	244.19029	659	683	47
1518	789.57361	1505	1531	70
2086	364.34113	2075	2100	60
1514	326.64157	1502	1530	55
1200	330.29968	1295	1215	55
160	166.08609	147	183	30
2000	340.39316	1985	2020	60
1789	644.49390	1780	1807	70
2061	244.19022	2050	2070	50
663	334.17139	655	678	55
1967	312.25839	1955	1977	55
130	194.10210	125	145	42
260	166.08617	243	279	30
1842	297.23929	1830	1855	46
1067	333.28171	1055	1080	55
1578	333.33429	1570	1600	55
1414	303.30911	1405	1430	50
1406	260.28497	1400	1430	45
1789	645.49933	1780	1805	70
2090	340.34717	2070	2120	60
1864	637.30481	1856	1879	76
2000	647.34052	1992	2015	70
1725	808.59619	1716	1738	75
1789	650.45087	1780	1807	70
1469	316.32095	1460	1482	55
1437	300.29114	1430	1460	50
1527	358.33044	1521	1542	60
1287	318.30023	1275	1300	55
1561	366.33640	1550	1573	60
1877	342.30096	1872	1888	60
2090	338.34268	2065	2120	60
1833	364.31360	1825	1848	60
1004	264.15675	995	1015	45
1667	342.33716	1660	1680	60
1496	331.33881	1490	1508	55
1406	259.28223	1400	1430	44
1162	244.26311	1157	1176	50
1561	367.34033	1554	1573	60
1210	231.25093	1200	1225	33
1419	310.30942	1410	1430	50
2012	257.26654	2000	2030	40
1624	791.58655	1611	1636	75
